Time,ParameterName,ParameterValue
2022-12-02T00:00:00Z,WS_PT1H_AVG,1.5
2022-12-02T00:00:00Z,WS_PT1H_MAX,2.4
2022-12-02T00:00:00Z,WS_PT1H_MIN,0.7
2022-12-02T00:00:00Z,WD_PT1H_AVG,70.0
2022-12-02T00:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T00:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T00:00:00Z,PA_PT1H_AVG,1041.4
2022-12-02T00:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T01:00:00Z,TA_PT1H_AVG,-3.3
2022-12-02T01:00:00Z,TA_PT1H_MAX,-3.1
2022-12-02T01:00:00Z,TA_PT1H_MIN,-3.4
2022-12-02T01:00:00Z,RH_PT1H_AVG,98.0
2022-12-02T01:00:00Z,WS_PT1H_AVG,2.3
2022-12-02T01:00:00Z,WS_PT1H_MAX,2.8
2022-12-02T01:00:00Z,WS_PT1H_MIN,1.7
2022-12-02T01:00:00Z,WD_PT1H_AVG,103.0
2022-12-02T01:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T01:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T01:00:00Z,PA_PT1H_AVG,1041.3
2022-12-02T01:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T02:00:00Z,TA_PT1H_AVG,-3.4
2022-12-02T02:00:00Z,TA_PT1H_MAX,-3.4
2022-12-02T02:00:00Z,TA_PT1H_MIN,-3.5
2022-12-02T02:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T02:00:00Z,WS_PT1H_AVG,NaN
2022-12-02T02:00:00Z,WS_PT1H_MAX,NaN
2022-12-02T02:00:00Z,WS_PT1H_MIN,NaN
2022-12-02T02:00:00Z,WD_PT1H_AVG,110.0
2022-12-02T02:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T02:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T02:00:00Z,PA_PT1H_AVG,1041.2
2022-12-02T02:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T03:00:00Z,TA_PT1H_AVG,-3.6
2022-12-02T03:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T03:00:00Z,TA_PT1H_MIN,-3.7
2022-12-02T03:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T03:00:00Z,WS_PT1H_AVG,2.5
2022-12-02T03:00:00Z,WS_PT1H_MAX,3.1
2022-12-02T03:00:00Z,WS_PT1H_MIN,2.2
2022-12-02T03:00:00Z,WD_PT1H_AVG,117.0
2022-12-02T03:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T03:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T03:00:00Z,PA_PT1H_AVG,1041.1
2022-12-02T03:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T04:00:00Z,TA_PT1H_AVG,-3.7
2022-12-02T04:00:00Z,TA_PT1H_MAX,-3.6
2022-12-02T04:00:00Z,TA_PT1H_MIN,-3.7
2022-12-02T04:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T04:00:00Z,WS_PT1H_AVG,2.4
2022-12-02T04:00:00Z,WS_PT1H_MAX,3.0
2022-12-02T04:00:00Z,WS_PT1H_MIN,1.7
2022-12-02T04:00:00Z,WD_PT1H_AVG,91.0
2022-12-02T04:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T04:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T04:00:00Z,PA_PT1H_AVG,1041.0
2022-12-02T04:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T05:00:00Z,TA_PT1H_AVG,-3.6
2022-12-02T05:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T05:00:00Z,TA_PT1H_MIN,-3.7
2022-12-02T05:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T05:00:00Z,WS_PT1H_AVG,2.1
2022-12-02T05:00:00Z,WS_PT1H_MAX,2.7
2022-12-02T05:00:00Z,WS_PT1H_MIN,1.7
2022-12-02T05:00:00Z,WD_PT1H_AVG,91.0
2022-12-02T05:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T05:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T05:00:00Z,PA_PT1H_AVG,1041.0
2022-12-02T05:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T06:00:00Z,TA_PT1H_AVG,-3.5
2022-12-02T06:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T06:00:00Z,TA_PT1H_MIN,-3.6
2022-12-02T06:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T06:00:00Z,WS_PT1H_AVG,2.1
2022-12-02T06:00:00Z,WS_PT1H_MAX,2.2
2022-12-02T06:00:00Z,WS_PT1H_MIN,1.8
2022-12-02T06:00:00Z,WD_PT1H_AVG,88.0
2022-12-02T06:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T06:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T06:00:00Z,PA_PT1H_AVG,1041.0
2022-12-02T06:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T07:00:00Z,TA_PT1H_AVG,-3.6
2022-12-02T07:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T07:00:00Z,TA_PT1H_MIN,-3.6
